token,freq
中国,21534
发展,20891
合作,12043
全球,10885
习近平,9111
世界,8646
推动,8554
国家,8221
新,7806
国际,7712
人类,7582
命运,7200
共同体,6848
构建,6705
共同,6086
建设,5740
人民,5689
经济,5198
现代化,5159
和平,4709
主席,4650
推进,4484
安全,4474
重要,4325
倡议,4252
坚持,4233
文明,3833
治理,3825
时代,3604
组织,3468
历史,3428
加强,3418
全面,3388
2024,3336
2025,3303
实现,3251
各国,3204
文化,3135
促进,3130
领域,3047
关系,2991
体系,2946
中方,2909
理念,2881
维护,2841
社会,2835
创新,2822
共建,2818
提出,2745
持续,2719
表示,2663
战略,2662
社会主义,2593
支持,2547
人民日报,2455
总书记,2435
一路,2406
精神,2389
交流,2389
一带,2333
不断,2315
深化,2301
工作,2297
提供,2294
高质量,2274
开放,2271
携手,2263
联合国,2214
中国式,2209
双方,2121
坚定,2032
力量,2028
问题,2010
绿色,1985
积极,1949
贡献,1933
思想,1914
上海,1862
科技,1848
稳定,1845
