doc_index,title,n_sentences,main_topic,main_prob
0,学习规划建议每日问答丨如何认识“十四五”时期我国发展取得重大成就,4,2,0.6978
2,《习近平法治文选》第一卷主要篇目介绍,6,2,0.4791
3,在法治轨道上推进中国式现代化,9,0,0.9987
5,与汉学结伴 和中国同行（和音）,2,1,0.749
6,习近平同科摩罗总统阿扎利就中科建交50周年互致贺电,1,1,0.9931
8,习近平同科摩罗总统阿扎利就中科建交50周年互致贺电,1,1,0.9931
13,高质量推进国防和军队现代化（学习贯彻党的二十届四中全会精神）,8,2,0.9987
19,跨越山海 共赴未来（大使随笔）,1,4,0.4379
20,习近平会见国际奥委会主席考文垂和终身名誉主席巴赫,1,3,0.4512
22,学习贯彻党的二十届四中全会精神中央宣讲团在外交部、贵州宣讲（学习贯彻党的二十届四中全会精神）,1,2,0.992
24,在中国式现代化新征程上加快建设体育强国,8,3,0.457
27,“十五五”时期我国发展环境面临深刻复杂变化,4,0,0.9978
29,推动构建人类命运共同体（学习贯彻党的二十届四中全会精神）,9,1,0.4538
30,中俄总理第三十次定期会晤联合公报,1,1,0.7713
31,王毅接受非盟新任驻华代表递交委任书并同爱沙尼亚外长会谈,1,1,0.9891
34,李强分别会见格鲁吉亚总理科巴希泽、塞尔维亚总理马楚特、尼日利亚众议长塔杰丁,1,1,0.9891
35,李强会见塞尔维亚总理马楚特,1,1,0.9891
43,引航亚太开放合作 展现大国责任担当,2,1,0.6412
44,“经得起历史检验的抉择”,3,1,0.9927
53,为基本实现社会主义现代化奠定更加坚实的基础,4,0,0.998
54,以人类前途为怀 以人民福祉为念（深入学习贯彻习近平新时代中国特色社会主义思想·访谈录）,2,3,0.7483
55,为基本实现社会主义现代化奠定更加坚实的基础,4,0,0.998
57,聚焦“十五五”规划建议｜为基本实现社会主义现代化夯实基础、全面发力——从“十五五”规划建议看奋力开创中国式现代化建设新局面,3,2,0.9974
58,中共中央关于制定国民经济和社会发展第十五个五年规划的建议,8,2,0.9989
61,中共中央关于制定国民经济和社会发展第十五个五年规划的建议,8,2,0.9989
64,中国对多边主义有着深刻理解与有力实践（国际论坛）,1,0,0.9729
66,中共二十届四中全会在京举行,3,2,0.9984
67,中国共产党第二十届中央委员会第四次全体会议公报,3,2,0.9984
68,把制度优势转化为发展优势,5,0,0.728
73,深入学习贯彻习近平总书记在全球妇女峰会上的主旨讲话精神 推动新时代新征程妇女事业高质量发展,1,4,0.7134
75,谱写全球妇女事业发展新篇章（国际论坛）,1,4,0.4947
76,引领未来，中国做对了什么,12,0,0.2946
77,飞驰的光影，映照追梦的中国,2,0,0.9908
78,国防部新闻发言人就近期涉军问题发布消息并答记者问,1,4,0.5038
89,赵乐际会见利比里亚临时参议长劳伦斯,1,1,0.9932
91,和平发展，中国贯通历史、现实、未来的坚定抉择,2,4,0.4931
93,赵乐际会见利比里亚临时参议长劳伦斯,1,1,0.9932
100,《习近平谈治国理政》第五卷英文版推介会在法兰克福举行,3,2,0.8305
103,让广大妇女人生出彩梦想成真,1,4,0.5572
104,为全球妇女事业发展注入强劲动力（和音）,2,1,0.8001
106,弘扬北京世妇会精神 加速妇女全面发展新进程,1,1,0.9913
109,习近平在全球妇女峰会开幕式的主旨讲话（全文）,1,1,0.9913
112,“每一位妇女都是时代的书写人、追梦的奋斗者”,11,4,0.5098
113,《习近平关于妇女儿童和妇联工作论述摘编》《习近平关于注重家庭家教家风建设论述摘编》多语种版出版发行,1,4,0.9883
121,谱写全球妇女事业发展新篇章,2,4,0.9951
123,以坚定文化自信走向未来,4,3,0.9953
124,文明之光照亮复兴之路,1,2,0.983
125,推动共建阿中命运共同体，更好应对时代挑战（国际论坛）,1,1,0.722
129,透过三个坐标，感知博物馆史诗般进步,4,3,0.9945
131,勇担大义 笃行大道（和音）,1,1,0.9872
132,科学客观看待我国当前经济发展态势（习近平经济思想指引下的中国经济专论）,1,0,0.701
133,奋力谱写中国式现代化更加绚丽的篇章,3,2,0.9968
134,接续奋斗 再创辉煌,2,4,0.6324
136,矢志不渝奋斗 推进复兴伟业（社论）,3,2,0.7904
137,在庆祝中华人民共和国成立76周年招待会上的讲话,1,2,0.9859
138,庆祝中华人民共和国成立76周年招待会在京举行,1,2,0.9859
139,习近平：在庆祝中华人民共和国成立76周年招待会上的讲话,1,2,0.9859
