temporal_marker,concept,weight,raw_count
新时代,社会主义,1.0,527
时代,社会主义,1.0,527
新时代,建设,1.0,383
时代,建设,1.0,383
新时代,中国式,1.0,176
新时代,文化,1.0,176
时代,中国式,1.0,176
新时代,命运,1.0,247
新时代,共同体,1.0,247
时代,命运,1.0,247
时代,共同体,1.0,247
新时代,人民,1.0,184
时代,人民,1.0,184
新时代,精神,1.0,155
新时代,合作,1.0,155
时代,合作,1.0,155
新时代,人类,1.0,147
新时代,国际,1.0,147
时代,人类,1.0,147
时代,国际,1.0,147
新时代,国家,1.0,200
时代,国家,1.0,200
新时代,和平,1.0,71
时代,和平,1.0,71
新时代,安全,1.0,105
时代,安全,1.0,105
新时代,我们,1.0,254
时代,我们,1.0,254
新时代,创新,1.0,195
新时代,强国,1.0,168
时代,创新,1.0,195
时代,强国,1.0,168
新时代,世界,1.0,160
时代,世界,1.0,160
新时代,思想,1.0,476
时代,思想,1.0,476
新时代,现代化,1.0,291
时代,现代化,1.0,291
新时代,特色,1.0,520
时代,特色,1.0,520
新时代,理论,1.0,177
时代,理论,1.0,177
新时代,战略,1.0,185
时代,战略,1.0,185
新时代,发展,1.0,641
时代,发展,1.0,641
时代,文化,0.994318,175
时代,精神,0.993548,154
征程,中国式,0.318182,56
征程,强国,0.297619,50
征程,现代化,0.264605,77
征程,我们,0.220472,56
征程,建设,0.185379,71
征程,和平,0.183099,13
征程,精神,0.180645,28
以来,国家,0.16,32
以来,国际,0.156463,23
以来,理论,0.146893,26
历史,人类,0.142857,21
历史,我们,0.141732,36
以来,我们,0.141732,36
以来,发展,0.137285,88
历史,人民,0.13587,25
以来,合作,0.135484,21
以来,战略,0.135135,25
征程,国家,0.135,27
以来,人民,0.130435,24
征程,人民,0.130435,24
以来,创新,0.128205,25
征程,社会主义,0.125237,66
以来,世界,0.125,20
征程,发展,0.121685,78
历史,文化,0.119318,21
征程,文化,0.119318,21
历史,世界,0.11875,19
征程,理论,0.118644,21
征程,创新,0.112821,22
以来,现代化,0.109966,32
征程,人类,0.108844,16
以来,建设,0.10705,41
历史,精神,0.103226,16
以来,中国式,0.102273,18
以来,共同体,0.101215,25
以来,命运,0.097166,24
历史,战略,0.091892,17
征程,战略,0.091892,17
征程,特色,0.090385,47
征程,国际,0.088435,13
征程,思想,0.086134,41
以来,安全,0.085714,9
征程,安全,0.085714,9
历史,和平,0.084507,6
以来,人类,0.081633,12
历史,中国式,0.079545,14
历史,理论,0.079096,14
历史,国家,0.075,15
以来,特色,0.073077,38
历史,命运,0.072874,18
历史,共同体,0.072874,18
以来,社会主义,0.072106,38
历史,创新,0.071795,14
历史,建设,0.070496,27
以来,思想,0.069328,33
征程,世界,0.06875,11
历史,发展,0.068643,44
历史,现代化,0.065292,19
历史,国际,0.061224,9
未来,人类,0.061224,9
历史,特色,0.059615,31
历史,社会主义,0.058824,31
历史,合作,0.058065,9
以来,精神,0.058065,9
以来,文化,0.056818,10
以来,和平,0.056338,4
未来,和平,0.056338,4
以来,强国,0.053571,9
历史,思想,0.052521,25
征程,合作,0.051613,8
未来,世界,0.05,8
征程,命运,0.048583,12
征程,共同体,0.044534,11
历史,安全,0.038095,4
未来,共同体,0.036437,9
历史,强国,0.035714,6
当前,国际,0.034014,5
未来,国际,0.034014,5
未来,命运,0.032389,8
未来,我们,0.031496,8
走向,和平,0.028169,2
未来,战略,0.027027,5
走向,精神,0.025806,4
当前,强国,0.02381,4
走向,文化,0.022727,4
未来,文化,0.022727,4
未来,发展,0.021841,14
面向未来,战略,0.021622,4
今天,人类,0.020408,3
走向,世界,0.01875,3
迈向,现代化,0.017182,5
当前,现代化,0.017182,5
当前,中国式,0.017045,3
迈向,理论,0.016949,3
未来,思想,0.016807,8
走向,人民,0.016304,3
未来,人民,0.016304,3
走向,我们,0.015748,4
当前,建设,0.015666,6
未来,建设,0.015666,6
当前,创新,0.015385,3
未来,特色,0.015385,8
当前,国家,0.015,3
走向,国家,0.015,3
未来,国家,0.015,3
迈向,和平,0.014085,1
当前,和平,0.014085,1
迈向,国际,0.013605,2
当前,特色,0.013462,7
当前,社会主义,0.013283,7
未来,社会主义,0.013283,7
走向,建设,0.013055,5
迈向,合作,0.012903,2
当前,合作,0.012903,2
今天,精神,0.012903,2
未来,精神,0.012903,2
未来,合作,0.012903,2
迈向,世界,0.0125,2
面向未来,命运,0.012146,3
面向未来,共同体,0.012146,3
今天,强国,0.011905,2
走向,中国式,0.011364,2
未来,理论,0.011299,2
当前,发展,0.01092,7
当前,人民,0.01087,2
今天,人民,0.01087,2
迈向,战略,0.010811,2
当前,战略,0.010811,2
当前,思想,0.010504,5
走向,现代化,0.010309,3
迈向,创新,0.010256,2
未来,创新,0.010256,2
迈向,安全,0.009524,1
当前,安全,0.009524,1
过去,思想,0.008403,4
当前,命运,0.008097,2
当前,共同体,0.008097,2
今天,命运,0.008097,2
今天,共同体,0.008097,2
当前,我们,0.007874,2
迈向,发展,0.0078,5
过去,特色,0.007692,4
迈向,特色,0.007692,4
走向,特色,0.007692,4
过去,社会主义,0.00759,4
迈向,社会主义,0.00759,4
走向,社会主义,0.00759,4
未来,现代化,0.006873,2
当前,人类,0.006803,1
走向,国际,0.006803,1
过去,精神,0.006452,1
迈向,精神,0.006452,1
