doc_index,title,n_sentences,main_topic,main_prob
620,中华人民共和国和柬埔寨王国关于构建新时代全天候中柬命运共同体、落实三大全球倡议的联合声明,5,1,0.9985
618,推动柬中命运共同体建设百尺竿头更进一步,9,1,0.9983
621,携手构建新时代全天候中柬命运共同体（和音）,6,1,0.9982
555,有关部门负责人就《新时代的中国国家安全》白皮书答记者问,7,1,0.9982
557,发布《新时代的中国国家安全》白皮书,4,1,0.998
614,构建周边命运共同体 携手开创亚洲新未来（深入学习贯彻习近平新时代中国特色社会主义思想）,3,1,0.997
628,习近平同柬埔寨首相洪玛奈举行会谈,4,1,0.9969
492,习近平同刚果（布）总统萨苏分别向中非合作论坛成果落实协调人部长级会议致贺信,3,1,0.9968
624,为中柬各领域合作指明方向、注入信心,4,1,0.9968
493,习近平同刚果（布）总统萨苏分别向中非合作论坛成果落实协调人部长级会议致贺信,3,1,0.9968
862,携手构建和合共生的美好世界（和音）,1,1,0.9967
924,中巴关系史上的重要里程碑,2,1,0.9962
984,从“和平共处”到“和合共生”,2,1,0.9961
622,亲诚惠容行大道，命运与共开新篇,4,1,0.9961
1291,习近平将出席2024年中非合作论坛峰会开幕式并举行相关活动,2,1,0.9958
1097,为全球治理体系变革完善提供中国方案（奋进强国路 阔步新征程）,2,1,0.9958
1110,习近平同俄罗斯总统普京就中俄建交75周年互致贺电,2,1,0.9957
1109,习近平同俄罗斯总统普京就中俄建交75周年互致贺电,2,1,0.9957
934,习近平同巴西总统卢拉举行会谈,2,1,0.9956
935,习近平同巴西总统卢拉举行会谈,2,1,0.9956
